conversation_flow,count
greeting,61
bot-greeting,39
problem-statement,37
user-abandoned,28
form-presentation,25
solution-attempt,21
user-request,11
resolution,11
information-gathering,8
bot-response,7
user-query,6
policy-explanation,6
user-inquiry,5
escalation,5
information-provision,4
bot-explanation,3
user-question,3
support-escalation,3
troubleshooting-guidance,3
next-steps,2
escalation-suggestion,2
user-acknowledgment,2
guidance-provided,2
bot-guidance,2
misunderstanding,2
troubleshooting,2
resource-suggestion,2
recommendation,2
form-submission,1
form-completion,1
user-clarification,1
bot-redirection,1
live-agent-request,1
human-intervention,1
solution-provided,1
request-for-human-assistance,1
billing-inquiry,1
payment-issue,1
refund-inquiry,1
invoice-request,1
credit-line-inquiry,1
user-follow-up,1
referral,1
user-request-for-live-chat,1
bot-prompt-for-question,1
user-request-for-operator,1
submission-guidance,1
incorrect-solution,1
error-acknowledgment,1
alternative-solution,1
eligibility-criteria-explanation,1
account-id-retrieval,1
account-status-inquiry,1
information-request,1
error-correction,1
solution-offering,1
confirmation,1
follow-up-request,1
attempted-solution,1
language-modification-request,1
further-issue-identification,1
suggestion-to-contact-support,1
general-guidance,1
support-suggestion,1
instruction-for-verification,1
issue-explanation,1
user-problem-statement,1
bot-general-guidance,1
user-escalation-request,1
bot-email-referral,1
bot-answer,1
resource-linking,1
additional-requests,1
quota-exhaustion,1
request-reopening-attempt,1
new-request-submission,1
recommendation-to-contact-support,1
requirement-clarification,1
initial-explanation,1
conversation-closure,1
additional-issue,1
attempted resolution,1
suggested-next-steps,1
solution-suggestion,1
verification-request,1
resource-request,1
call-scheduling,1
human-escalation,1
