success_pattern,count
bot-greeting-successful,499
form-presentation-complete,499
clear-step-by-step-guidance,142
policy-explanation,73
information-gathering,39
form-completion-workflow,28
resource-linking,13
resource-link-provided,12
clear-explanation,7
contact-information-provided,6
clear-policy-explanation,5
link-provision,4
clear-information-provision,4
step-by-step-guidance,3
clear-communication,3
clear-instruction-provided,3
clear-guidance,3
clear-contact-information-provided,2
clear-instructions,2
escalation-to-human-support,2
verification-process-initiation,2
clear-information-provided,2
resource-link-sharing,2
platform-specific-instructions,2
information-provision,2
resource-link-provision,2
verification-instructions,1
clear-explanation-of-billing,1
advice-on-payment-methods,1
refund-policy-clarification,1
direct-contact-information,1
clear-dimension-guidance,1
general-file-optimization-advice,1
clear-guidance-on-next-steps,1
business-verification-initiation,1
new-request-guidance,1
effective-escalation,1
clear-specification-provision,1
detailed-instructions-provided,1
clarification-of-ad-options,1
integration-instructions,1
clear-policy-communication,1
support-contact-facilitation,1
request-forwarding,1
affiliate-program-clarification,1
provided-contact-information,1
suggestion-provision,1
guidance-to-account-settings,1
eligibility-confirmation,1
comprehensive-instructions,1
clear-integration-instructions,1
alternative-support-options,1
language-support,1
link-to-detailed-instructions,1
user-reassurance,1
email-instruction-provided,1
appeal-guidance,1
detailed-troubleshooting-guidance,1
billing-clarification,1
quick-escalation-to-human,1
clear-instruction,1
clear-next-steps,1
timely-response,1
link-to-detailed-guide,1
clear-contact-information,1
detailed-parameter-explanation,1
step-by-step-integration-guidance,1
clear-promotion-details,1
provided-useful-links,1
user-request-acknowledgment,1
detailed-instructions,1
information-provided-quickly,1
user-confirmed-understanding,1
direct-answer-to-user-query,1
clear-explanation-of-learning-phase,1
troubleshooting-guidance,1
next-step-guidance,1
link-sharing,1
general-guidance-provided,1
clear-answer-provision,1
effective-escalation-process,1
detailed-troubleshooting-steps,1
platform-specific-guidance,1
technical-explanation,1
detailed-explanations,1
correct-contact-information-provided,1
clear-contact-information-provision,1
escalation-to-support,1
guidance-to-check-email,1
clear-explanation-of-billing-options,1
link-to-billing-guide,1
link-to-additional-resources,1
account-deletion-request-routing,1
guidance-to-contact-support,1
provided-external-link,1
accurate-referral,1
bot-identification,1
link-to-help-center,1
clear-explanation-of-event-tracking,1
successful-live-agent-connection,1
guidance-provided,1
help-center-link-shared,1
clear-explanation-of-policy,1
guidance-on-compliance,1
relevant-resource-linking,1
quick-escalation,1
clear-routing-instructions,1
link-to-help-article,1
support-ticket-creation,1
detailed-integration-instructions,1
guidance-on-next-steps,1
clear-explanation-of-concepts,1
addressing-user-queries,1
