capability,count,percentage
policy-clarification,4,18.181818181818183
form-completion-workflow,2,9.090909090909092
information-gathering,2,9.090909090909092
policy-explanation,2,9.090909090909092
step-by-step-guidance,2,9.090909090909092
provided-clear-instructions,1,4.545454545454546
status-explanation,1,4.545454545454546
bidding-clarification,1,4.545454545454546
integration-guidance,1,4.545454545454546
providing-contact-information,1,4.545454545454546
payment-process-explanation,1,4.545454545454546
information-provision,1,4.545454545454546
business-verification-process,1,4.545454545454546
provided-correct-dimensions,1,4.545454545454546
gave-general-advice-on-file-size,1,4.545454545454546
providing-step-by-step-instructions,1,4.545454545454546
linking-to-detailed-articles,1,4.545454545454546
clear-step-by-step-guidance,1,4.545454545454546
guiding-user-to-submit-new-request,1,4.545454545454546
provided-clear-information,1,4.545454545454546
linked-to-detailed-guide,1,4.545454545454546
providing-support-contact,1,4.545454545454546
task-delegation,1,4.545454545454546
provided-ad-specifications,1,4.545454545454546
account-structure-explanation,1,4.545454545454546
pixel-guidance,1,4.545454545454546
credit-line-information,1,4.545454545454546
traffic-source-confirmation,1,4.545454545454546
provided-detailed-setup-instructions,1,4.545454545454546
identified-tracking-partner,1,4.545454545454546
support-escalation,1,4.545454545454546
